2019-10-19 20:08:19 - root - spider: Crawl Start!
2019-10-19 20:08:22 - root - spider: Comment count: 10
2019-10-19 20:08:22 - root - spider: Comment count: 10
2019-10-19 20:08:23 - root - spider: Comment count: 10
2019-10-19 20:08:23 - root - spider: Comment count: 10
2019-10-19 20:08:26 - root - spider: Comment count: 10
2019-10-19 20:08:27 - root - spider: Comment count: 10
2019-10-19 20:08:28 - root - spider: Comment count: 10
2019-10-19 20:08:28 - root - spider: Comment count: 10
2019-10-19 20:08:29 - root - spider: Comment count: 10
2019-10-19 20:08:29 - root - spider: Comment count: 10
2019-10-19 20:08:30 - root - spider: Comment count: 10
2019-10-19 20:08:30 - root - spider: Comment count: 10
2019-10-19 20:08:32 - root - spider: Comment count: 10
2019-10-19 20:08:32 - root - spider: Comment count: 10
2019-10-19 20:08:33 - root - spider: Comment count: 10
2019-10-19 20:08:33 - root - spider: Comment count: 10
2019-10-19 20:08:35 - root - spider: Comment count: 10
2019-10-19 20:08:35 - root - spider: Comment count: 10
2019-10-19 20:08:35 - root - spider: Comment count: 10
2019-10-19 20:08:35 - root - spider: Comment count: 10
2019-10-19 20:08:36 - root - spider: Comment count: 10
2019-10-19 20:08:36 - root - spider: Comment count: 10
2019-10-19 20:08:36 - root - spider: Comment count: 10
2019-10-19 20:08:36 - root - spider: Comment count: 10
2019-10-19 20:08:37 - root - spider: Comment count: 10
2019-10-19 20:08:37 - root - spider: Comment count: 10
2019-10-19 20:08:37 - root - spider: Comment count: 10
2019-10-19 20:08:37 - root - spider: Comment count: 10
2019-10-19 20:08:39 - root - spider: Comment count: 10
2019-10-19 20:08:39 - root - spider: Comment count: 10
2019-10-19 20:08:39 - root - spider: Comment count: 10
2019-10-19 20:08:39 - root - spider: Comment count: 10
2019-10-19 20:08:40 - root - spider: Comment count: 10
2019-10-19 20:08:40 - root - spider: Comment count: 10
2019-10-19 20:08:40 - root - spider: Comment count: 10
2019-10-19 20:08:40 - root - spider: Comment count: 10
2019-10-19 20:08:41 - root - spider: Comment count: 10
2019-10-19 20:08:41 - root - spider: Comment count: 10
2019-10-19 20:08:41 - root - spider: Comment count: 10
2019-10-19 20:08:42 - root - spider: Comment count: 10
2019-10-19 20:08:42 - root - spider: Comment count: 10
2019-10-19 20:08:42 - root - spider: Comment count: 10
